trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-170.26369452123447,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-142.19412366335817,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-117.17247486527701,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-104.6036508482909,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",30,0,-64.2408290409189,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-140.5456793408235,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-62.58437887877427,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-121.34491655951678,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-66.29022767283486,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.00107146186419,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-68.29915912485184,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-163.0928127705409,"{0: 11, 1: 1, 2: 11, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,10,-30.10279761829725,"{0: 7, 1: 1, 2: 0, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-108.70183276078318,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-142.38906161662567,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,2,-113.44597074638219,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-113.60768636162516,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-70.416360245328,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,9,-89.26653642897676,"{0: 11, 1: 1, 2: 0, 3: 3, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-135.45079213027486,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-90.04191255734068,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-95.0641032166875,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-177.43934335894787,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-104.74599203094633,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-129.11804388427254,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",35,0,-203.32574033839288,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-66.30073872715779,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,6,-84.28105470764841,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 0}",1
