trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.61819651577419,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-243.03728145021765,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-233.03106004355283,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-123.54623878028099,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-73.26451565180265,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-187.91895695511758,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-98.23485909203357,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-56.56895709549719,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,18,-50.85203583905718,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-109.46612272064041,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-66.07701149211188,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-158.92619864769057,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-115.22546037830539,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-108.03398168408096,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-56.80634866909323,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-62.72045375814416,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-89.26564322941928,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-69.13251976839118,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-48.87487109768981,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-61.43510214977235,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-161.36750025639068,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-99.35041463733127,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-119.16289925306644,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",35,0,-222.66961577161769,"{0: 21, 1: 2, 2: 6, 3: 3, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-62.52228911755668,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-164.72506507422253,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-96.60127415129053,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-128.77902281422064,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-163.05693638692216,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-60.13006800886606,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
